"id","date","mileage","distance","fuel_used","car_id","amount","gas_station","km_total","km_trip","liter_price","liters","tyres"
71,"2022-11-25",0.0,0.0,0.0,2,79.22,Bodegraven ,119854.0,706.1,1.789,44.28,Summer
72,"2022-12-07",0.0,0.0,0.0,2,77.52,Bodegraven ,120555.0,701.3,1.769,43.82,Summer
73,"2022-12-16",0.0,0.0,0.0,2,78.25,Bodegraven ,121260.0,705.0,1.719,45.52,Summer
74,"2022-12-31",0.0,0.0,0.0,2,76.57,Bodegraven ,121961.0,700.6,1.779,43.04,Summer
75,"2023-01-11",0.0,0.0,0.0,2,72.49,Bodegraven zuid,122583.0,622.7,1.754,41.33,Summer
76,"2023-01-28",0.0,0.0,0.0,2,84.49,Rotterdam ,123301.0,717.9,1.789,47.23,Summer
77,"2023-02-22",0.0,0.0,0.0,2,84.66,Bodegraven,124090.0,788.7,1.799,47.06,Summer
78,"2023-03-03",0.0,0.0,0.0,2,71.65,Bodegraven,124736.0,645.3,1.809,39.61,Summer
79,"2023-03-15",0.0,0.0,0.0,2,39.66,Delft,125488.0,752.3,1.769,22.42,Summer
80,"2023-03-21",0.0,0.0,0.0,2,77.73,Bodegraven,125774.0,286.2,1.769,43.94,Summer
81,"2023-04-05",0.0,0.0,0.0,2,86.18,Bodegraven,126519.0,745.4,1.869,46.11,Summer
82,"2023-04-17",0.0,0.0,0.0,2,90.15,Bodegraven ,127328.0,808.1,1.879,47.98,Summer
83,"2023-04-30",0.0,0.0,0.0,2,71.26,Dalfsen,128033.0,705.0,1.699,41.94,Summer
84,"2023-05-15",0.0,0.0,0.0,2,75.94,Bodegraven ,128771.0,732.1,1.799,42.21,Summer
85,"2023-05-23",0.0,0.0,0.0,2,84.07,Bodegraven ,129570.0,798.9,1.799,46.73,Summer
86,"2023-06-10",0.0,0.0,0.0,2,81.96,Bodegraven ,130351.0,780.9,1.744,46.2,Summer
87,"2023-06-30",0.0,0.0,0.0,2,83.96,De Lier,131158.0,806.9,1.809,46.41,Summer
88,"2023-07-12",0.0,0.0,0.0,2,92.35,De Lier,131969.0,811.1,1.959,47.14,Summer
89,"2023-07-19",0.0,0.0,0.0,2,59.42,Wuppertal,132505.0,535.4,1.829,32.49,Summer
90,"2023-08-01",0.0,0.0,0.0,2,95.43,BP Bodegraven,133262.0,757.1,1.999,47.74,Summer
91,"2023-08-13",0.0,0.0,0.0,2,88.67,Esso Bodegraven,134007.0,745.1,2.029,43.7,Summer
92,"2023-08-26",0.0,0.0,0.0,2,92.29,Bodegraven Esso,134784.0,777.2,2.039,45.26,Summer
93,"2023-09-15",0.0,0.0,0.0,2,93.14,Esso Bodegraven,136300.0,760.3,2.079,44.8,Summer
94,"2023-09-05",0.0,0.0,0.0,2,89.15,Esso Bodegraven,135539.0,755.0,2.059,43.3,Summer
95,"2023-09-20",0.0,0.0,0.0,2,98.38,Bodegraven,137099.0,798.0,2.099,46.87,Summer
96,"2023-10-04",0.0,0.0,0.0,2,90.25,Bodegraven ,137892.0,792.7,2.039,44.26,Summer
97,"2023-10-16",0.0,0.0,0.0,2,82.78,Bodegraven ,138626.0,733.9,1.989,41.62,Summer
98,"2023-10-23",0.0,0.0,0.0,2,92.85,Bodegraven ,139419.0,783.5,1.999,46.45,Summer
99,"2023-11-22",0.0,0.0,0.0,2,89.27,Bodegraven ,140122.0,702.5,1.919,46.52,Summer
100,"2023-12-04",0.0,0.0,0.0,2,87.13,Bodegraven ,140831.0,709.6,1.899,45.88,Summer
101,"2023-12-20",0.0,0.0,0.0,2,76.55,Bodegraven ,141474.0,643.1,1.849,41.4,Summer
102,"2024-01-03",0.0,0.0,0.0,2,79.05,Bodegraven TotalEnergies ,142135.0,659.7,1.834,43.1,Summer
103,"2024-01-09",0.0,0.0,0.0,2,87.9,Bodegraven ,142880.0,745.2,1.869,47.03,Summer
104,"2024-01-19",0.0,0.0,0.0,2,75.84,Esso Bodegraven ,143540.0,659.4,1.839,41.24,Summer
105,"2024-02-20",0.0,0.0,0.0,2,80.91,Esso,144911.0,667.3,1.919,42.16,Summer
106,"2024-03-03",0.0,0.0,0.0,2,85.76,Esso Bodegraven ,145628.0,717.3,1.929,44.46,Summer
107,"2024-03-08",0.0,0.0,0.0,2,88.02,NXT,146394.0,765.9,1.919,45.87,Summer
108,"2024-03-18",0.0,0.0,0.0,2,88.55,Bodegraven ,147115.0,720.6,1.969,44.97,Summer
109,"2024-03-28",0.0,0.0,0.0,2,84.07,Esso Bodegraven ,147830.0,700.0,1.979,42.48,Summer
110,"2024-04-04",0.0,0.0,0.0,2,87.07,Bodegraven ,148530.0,715.4,2.039,42.7,Summer
111,"2024-04-18",0.0,0.0,0.0,2,87.96,TinQ,149255.0,722.2,2.039,43.14,Summer
112,"2024-04-25",0.0,0.0,0.0,2,90.43,TinQ ,150014.0,758.1,2.009,45.01,Summer
132,"2025-09-02",,0.0,,5,19.56,Shell,95579.0,122.0,2.439,8.02,Summer
133,"2025-09-08",,0.0,,5,48.21,NXT,95719.0,356.0,2.069,23.3,Summer
136,"2025-09-21",,0.0,,5,39.21,TinQ,95996.0,277.0,2.079,18.86,Summer
137,"2025-10-02",,0.0,,5,48.76,TinQ,96352.0,356.1,2.089,23.34,Summer
140,"2025-10-26",,0.0,,5,41.37,TotalEnergies,96643.0,291.0,2.039,20.29,Summer
142,"2025-11-11",,0.0,,5,46.38,TotalEnergies,96970.0,327.4,2.079,22.31,Summer
145,"2025-12-01",,0.0,,5,42.93,Tankstation NXT,97282.0,307.3,2.079,20.65,Summer
